Beer,Username,Location,Rating,Review,Date
Abner,,Massachusetts,4.48/5,"Draft at Armsby Abbey

Well damn, my first Hill Farmstead beer and it’s the 35th highest rated beer on BA! I know they’re more known for their Saisons, but I’m very happy to try this

Pours a hazy orange gold with 2 fingers of creamy white head that slowly fades to a cap and leaves nice lacing

For the style, this isn’t super juicy in the nose. I’m picking up on aromas of the overripe melon, lemon zest, bready malt, light caramel, peppery hops, fresh grass, and grapefruit rind

It’s a little more aggressive in taste but still feels more rustic than juicy and fruity. On the front end of the sip I’m tasting lemon zest, crackery malt, tangerine, overripe melon, weedy hops, and light caramel. The swallow brings notes of grapefruit zest, orange juice, bready malt, peppery hops, fresh grass, and light tangerine

A medium body pairs with gentle carbonation, resulting in a zesty yet creamy beer. Finishes mostly dry and very balanced

Holy shit, this is a great beer. Super unique for the style and so drinkable especially for the abv. I need more","Apr 06, 2022"
Abner,,Virginia,4.5/5,"Had on tap. Pours a mostly clear light orange. Nice white head leaves a solid lace curtain. Smell and taste are fruity, with a little pine. Just an extremely well-crafted IIPA. Excellent.","Apr 06, 2022"
Abner,,Kiribati,3.55/5,"Thanks to Roy_Hobbs for this one, from his massive NBS BIF # 15 hit. 16oz can (dated 8/18/20) poured into 12oz tulip. Poured a solid medium-dark orange color with a bit more than a half-inch of white head that had good retention and lacing.

A big blast of hops popped out of the can upon opening. Some citrus-orange scents, and some light frootiness. Very low grain presence. 

Fairly similar on the tongue, with a bit of alcohol presence as well.

The body was fairly typical for the style, smooth and light.

Drinkability was good, especially sine the alcohol seemed to fade out a bit as it spent some time in the glass.

Overall, even though almost certainly faded, this still a really nice beer. Would like to try it fresh some time. Worth grabbing if you see it.","Apr 05, 2022"
Abner,,Washington,4.26/5,"can into glass
Bought at brewery, canned 12 days prior.
Brief, white head. Cloudy, medium orange, with a bit of amber on the side of the glass. Candied tangelo peel, mango, a touch of allspice and light caramelized malt, makes up the aroma. First ⅔ of taste is very good, with a candied tangerine peel, some mango and off-dry ( a wine term for nearly a complete lack of sweetness ), medium toasted, caramelized malts. As soon as these flavors fade, a sharp tangerine peel bite comes in and crowds out all else, for a long finish.","Nov 13, 2021"
Abner,,Indiana,4.51/5,"Appearance - The beer was bright yellow in color with a bubbly white head that left generous lacing. 

Smell - The nose was a bouquet of fresh lemons surrounded by dankness. 

Taste - Initially, fresh but dry lemons led the profile. There was just a touch of sweetness like the East Coast style, but it was not liquid candy. The dankness really came through in the finish. 

Mouthfeel - The body was nicely thick with an almost gritty body. Carbonation somehow survived the viscosity. 

Overall - This is a great IPA, but I have had better.","Aug 28, 2021"
Abner,,California,4.71/5,"Can fresh from brewery. 
Similar to heady topper but better.","Aug 20, 2021"
Abner,,New York,4.81/5,The best of the Hill Farmstead IPAs in My opinion. Smooth and bitter and the same time and a very delicate balance. Nose of citrus and color is like fruit juice.,"Jul 07, 2021"
Abner,,California,4.71/5,wow!,"Jun 24, 2021"
Abner,,Illinois,4.63/5,"Canned 5/11/21
Consumed 6/2/21

It says to drink by 6/8/21, so is this almost old?! Either way, it’s still fantastic. It looks, smells, and feels world class. It’s one of the best balanced IPAs I’ve had in a really long time. I would have guessed this is a 6.5% abv and not 8.2%. I love the bitterness throughout. Not West Coast style, but East Coast hazy like. I’m so happy to try this guy and will drink my remaining cans before they’re officially old!","Jun 02, 2021"
Abner,,Massachusetts,4.78/5,"I couldn’t be more lucky than to have fantastic neighbors willing to share a can of Hill F Abner. This was my first and right off the bat its smooth. Dare
I say there’s a creamy vanilla hint? The aroma is the classic fruity NE ipa. Is this really a dipa? Could not tell.","May 23, 2021"
Abner,,Indiana,4.96/5,The best NEIPA I’ve had,"Feb 17, 2021"
Abner,,Massachusetts,4.94/5,"Poured from a can. Failed to capture the date but I believe from a fall/early winter release. As always, a delicious beer... although this particular can was a bit murky relative to its peers. Still, appearance didn't impact taste... floral, citrus fruits, not juicy. One of my favorite beers.","Jan 29, 2021"
Abner,,Hawaii,4.5/5,Nice change of pace from all the juice bomb hazies out there,"Jan 02, 2021"
Abner,,Pennsylvania,4.63/5,"A: proper hazy yellow with slight opaqueness

S: citrusy with a slight sweetness which is the only telling of the malt 

T: juicy on the front of your tongue with slight stone fruit, while the hop bitterness shines through at the same time. Perfect meld of old school and new age hop usage. 

M: Properly crisp and smooth, but like a lot of HF I get a phlegmy feel which keeps the flavor and I love for beers like this 

O: This is an exceptional beer that makes me disappointed I have to drink other NE IPAs that are not Hill Farmstead. I would gladly drink this daily. This actually got better when paired with food too.","Dec 31, 2020"
Abner,,New York,4.63/5,"Poured from a can (08Dec2020) into a Teku

L: pours an opaque not creamy darker yellow orange with a very thick and dense white head. Slowly fades leaving very chunky lacing, nice foam on top of the beer ~30 minutes post pour

S: great fruit-forward note with piney hop bitterness to match. Avoids being overly sweet despite the quite tropical aroma, mix of mango/peach/melon with that more west coast piney bitterness adding some complexity

T: follows the nose well, with a mix of tropical flavors with a slightly piney/citrusy bitterness. Get that mango/peach/melon flavor from the nose, fully and slightly sweet but far from cloying. That bitterness follows quickly and carries through the medium/long finish. It’s just so easy to follow one sip with the next it’s amazing - doesn’t get old, feel heavy, get sweet

F: medium body, medium carbonation, smooth, very easy to drink

O: amazing DIPA, reminds me of the waves of flavor and easy drinking nature of HT (with less bitterness, of course)","Dec 21, 2020"
Abner,,Minnesota,4.75/5,2020 can poured into a snifter. Wonderfully juicy aroma and flavor. Soft enough mouthfeel. It is a great beer experience when hype and reality dance in harmony.,"Sep 09, 2020"
Abner,,Illinois,4.71/5,"I tend to be the kind of person who ends up underwhelmed by the beers that end up on the top 250 list ... especially when they're IPAs. But every once in a while, I try one that not only completely lives up to the hype, but surpasses it - Abner is one of those beers. 

Pours a cloudy, opaque, but bright orange color. Three finger frothy white head slowly dissipates leaving just a splotch of foam on top of the beer with a ring of white foam along the outside of the beer. Sparse white lacing coats the glass as the beer is consumed.

The aroma on this is incredible. Sweet and fruity without being too ""juicy"". Undertones of dried pine needles and grassy hops peep between notes of orange, tangerine, peach and mango. 

The taste follows the nose with notes of sweet orange, grapefruit, mango, pineapple given way to a mild piney bitterness on the finish. There is a certain sweetness to it, but its very mild and balanced. The bitterness on the back end, kind of build on itself resulting in an overarching lingering bitterness on the palate. 

Feel is pretty light for a DIPA, Very smooth with bright, vibrant carbonation. 

Overall an absolutely stellar DIPA and worthy of its hyped billing.","Sep 07, 2020"
Abner,,Indiana,4.75/5,"A beautiful hazy golden orange color, the head is nearly perfect - a pearl white color, really dense and foamy, it literally creates a lace wall down the glass. Never seen anything like it.

The nose is dank tropical aromas, especially grapefruit, pineapple, mango - and also some pine. Wow. I didn’t see that coming.

The grapefruit is prominent on the taste, and it has a candied element that is absolutely magnificent. There’s also pineapple, mango, and the aforementioned pine. Perfectly balanced, with no hint whatsoever of the 8% ABV, this is an example of a brewery confident in their prowess with hops.

The mouthfeel is really dry and substantial, as expected. What a treat this beer is. If you look in the “IPA Hall Of Fame,” this beer is one of the original inductees, IMHO.","Sep 05, 2020"
Abner,,Washington,4.44/5,"Truly excited to finally get to try this legend!

Poured from 16oz can into stemless tulip. Straw colored, slightly transparent haze. Slight dank bitterness with undertones of stone/tropical fruit on the nose. Taste/mouthfeel are soft on the front of the palate - goes down with just a bit of a bite of bitterness. Somewhat juicy.

Overall - this one didn't disappoint! The softness/juiciness backed by the slight bitterness is the perfect marriage of east coast/west coast styles.","Sep 04, 2020"
Abner,,California,4.41/5,"L: Straw w/ a little bit of burnt amber in hanging around

S: Grapefruit, pineapple and a little bit wet fire wood

T: Orange / Grapefruit pith. Assertive bitterness but not overpowering

F: Chewy up front but finish really dry; my favorite part of this beer.

O: A beautiful beer with layers of complexity. With that, and call me crazy, I prefer Nelson Pale","Sep 01, 2020"
Abner,,New Jersey,4.35/5,"Pour like most cloudier ipas but it isn’t murky at all, which is nice. Has a lingering opaque head, no lacing but that could be the pour since this beer usually has some nice lacing. Smell is fruit, mainly citrus lemon and orange to me. Taste follows same, sweeter citrus tangerine, Clementine, sweeter orange (cara cara, if you haven’t tried one do it you’ll thank me.) It finishes with a grapefruit bite. What separates this beer from other hazy beers is that it is not thick and cloying or heavy at all. It finishes pretty dry too and has a soft bitterness that is very pleasant and goes well with it. Glad I get to drink this guy once a year, always an enjoyable experience.","Aug 27, 2020"
Framboise Du Fermier,,Massachusetts,4.23/5,"This is another lactic SP sour that slaps you right in the face! Thankfully, it’s also full of raspberry dopeness, and I can get behind that part fosho","Jan 13, 2023"
Framboise Du Fermier,,Massachusetts,4.33/5,"Interesting plum-hued body with a bit of haze and a sudsy off-white head produced with moderate pour. Overripe raspberry billows out of the glass, with additional aromatics of fruit leather, champagne, and wildflowers. Very lovely although not particularly complex. Flavors lean tart, as per usual with SP, although the intense raspberry really helps balance things out here. Kinda like eating a raspberry with a lot of seeds, resulting in a more tart, tannic character. Feel is light, astringent and puckering. Overall pretty decent, reminds me of Drie Fonteinen's Framboos (and at a similar price point, $50/750ml)

87/100","Jan 03, 2023"
Framboise Du Fermier,,Ohio,4.45/5,"750 ml bottle, poured into a New Glarus glass at ~40 degrees F.

L: Pours a clear bright ruby-garnet red, at least for the first pour. Forms a thin, fizzy, short-lived white head that swiftly dies to a ring.

S: The nose is all tart raspberries, with some soft oak tannins wafting in the backdrop. 

T: Sharp, tart, sour raspberries, with just a slight tang beneath of oak.

F: Light, and not terribly lively.

O: Definitely framboise to the core, with a du Fermier acidity.","May 28, 2022"
Framboise Du Fermier,,Ohio,4.53/5,"Look - Just beautiful! Bright purplish red fairly clear till you pour the bottem of the bottle in the glass. Great white head and lacing
Smell - tart raspberry lots of barrel and tart with some earthy notes
Taste - tart raspberry slight sweet but dry with a great oak 
Feel - medium full body with a medium fizz carb slight cream
Overall - just fantastic and super tartness with a ton of raspberry","Apr 10, 2022"
Framboise Du Fermier,,Missouri,4.61/5,"Pours a dull, matte pink that resembles the fresh of grapefruit. No foam on this bottle pour. Pour is from the bottom 1/3 of the bottle. Aroma is strong raspberry (had it all caps in my notes). Stone and grass add depth, before a tart finish dries out the nose and cues a sip. Flavor profile is raspberries through and through. Stone, grass, and grapefruit round out each sip. It's sweet, then tart. Mouth feel is creamy with a mild silt throughout. Thickness is medium-thick, coming in on the more full side of saisons. Overall, a plump, ripe saison jammed up and full of raspberries. 

Bottle pour. Reviewed from notes.","Dec 03, 2021"
Framboise Du Fermier,,Massachusetts,4.6/5,"750 ml bottle today. Poured a deep and dark ruby color. Beautiful beer in the glass. Instant aroma of raspberries. Very fragrant. Smells fruity and tart. Flavor was full of raspberry with some acidity and a hint of vinegar. A real treat though. Great body for the style. Good carb too. Overall, outstanding iteration of a fruited saison. Took a long time for me to track this one down and would do it again.","Jul 21, 2021"
Framboise Du Fermier,,Florida,4.15/5,Bottle. Garnet pour with a white head. Big raspberry bouquet. Tasty with loads of raspberry highlights. Nice caramel malt and oak backbeats. Good body and mouthfeel.,"May 30, 2021"
Framboise Du Fermier,,Michigan,5/5,"Pouted from a 750 mL bottle. The color is very pretty dark red hazy color. The aroma is a bit of funk with a big explosion of raspberry, love it. The taste follows the smell with the typical SP acidity and a big raspberry flavor, super jammy. Its an awesome beer and tasty nonetheless.","Jan 12, 2021"
Framboise Du Fermier,,California,4.59/5,"Bottle courtesy of Hopelessly0.
Blend #2.","Dec 31, 2020"
Framboise Du Fermier,,North Carolina,4.75/5,"First of all, the smell. Wow! Hits your nose and you don’t want to pour it, drink it out of the bottle! My friend I’m drinking it with said it tastes like a raspberry Flintstones vitamin. It’s a great one no doubt!","Oct 16, 2020"
Framboise Du Fermier,,Pennsylvania,4.15/5,Hazy strawberry color with thin lacing. Tart raspberry funk on the nose. Taste is tart funk raspberry with alot of puckering. The sourness coats the mouth to the point where you have to scrape your tongue. Very funky and very tart.,"Sep 26, 2020"
Framboise Du Fermier,,California,4/5,"Side Project makes wonderful beer and this is a good one; it is not a 100 point beer. The nose, balance and flavor profiles are all ""fine."" Yes, that's it - just fine. It is somewhat balanced but also light on fruit and a bit thin. Yet, very pleasant, inviting and drinkable.","Jul 21, 2020"
Framboise Du Fermier,,Texas,4.92/5,Deep red color and nice thick head. Well carbed and easy to drink blend which really presents a delicious raspberry flavor without overwhelming the base beer. Impressive balance as SP shows some restraint on the berries.,"Jul 21, 2020"
Framboise Du Fermier,,Ohio,3.71/5,"Pale salmon-amber with almost no head that builds, resulting in a thin ring around the edge.

Not intending to start this off exactly like another review a few lines down, but this b2 FdF is way too sour. It's almost vinegary. An acetic, blackened oak overpowers the seedy raspberry, which is not as present as I'd expected. The finely carbonated medium body has also got a lemon juice sting to the dry finish. 

Definitely a huge disappointment, particularly considering it's position on the Top 250.","Jul 06, 2020"
Framboise Du Fermier,,Idaho,4.1/5,"750ml Bottle at share. Cloudy watermelon color, sparse bubbly head. Tart, sweet aroma, lots of berry. Taste is strawberry with a bit of melon . Sweet and tart.","Nov 01, 2019"
Framboise Du Fermier,,North Carolina,4.75/5,"L: Pours a bright ruby red that recedes into a slight cloudy cranberry hue with a light pink foam and ample lacing 
S: Jam and fruit preserves and fresh raspberries on the nose with a hint of funk
T: Fulsome sweet jammy fruit upfront complemented with a robust (yet balanced) Side Project acidity and touch of oak; tart finish
F: Superbly even and smooth mouthfeel with a crisp saison dryness on the finish
O: Been sitting on this one for awhile and finally popped it open on a 90 degree afternoon. Just a stunning pour followed by a robust jammy goodness. Really well done and perfect for a late summer day.","Sep 07, 2019"
Framboise Du Fermier,,New Mexico,3.67/5,"WAY too damn sour, puckering to say the least. Raspberries are normally one of my personal favorites added to a sour but this is utterly acidic and rough. Cant say I'd go after this again. not my jam and the side project label is what is carrying this in my opinion.","Mar 22, 2019"
Framboise Du Fermier,,Colorado,4.46/5,"while the side project wild beers have certainly been tending more acidic over the least year or so, in some instances, i think the higher acidity really works, and this is a great example of that. another one of the fruited fermier beers, up there with my favorites in the series, the plum, the cherry, and the blueberry, and i think the clean sourness that ramps up towards the end is part of what makes it. there is a lot of fruit in here, and a serious jammy sweetness is contributed by the raspberries, so the sour almost works to enhance and balance it, and with all the oak this has on it, along with the lemony funk, the drying cereal grain base, and the obvious maturity, its a complex and balanced brew that delivers what it seems to promise. i am not sure if this was aged in wine barrels or not, but it sure seems like it was, some notes of red and black currant in here, a tart cherry thing, and even a light strawberry thing, they all make it seem vinous to me, so does all the tannins in here. i even get trace watermelon flesh, juicy fruit gum, and red wine vinegar. suffice it to say there is quite a bit of depth to this. the fruit is insanely natural, really forward, and expressed beautifully through this base saison. almost as intense as i remember them being in the raspe, although i know this has to be less per barrel right? i also like it being a little stronger here, seems to slow me down, allow it to warm and open, and cut some of the flavor intensity with a little palate clearing alcohol. brilliant stuff, good carbonation too, especially compared to a few of the others in the series. the beat goes on for side project!","Nov 02, 2018"
Framboise Du Fermier,,Minnesota,4.34/5,"Bottle pour.

Pink raspberry color. Pink hued white head. This one has a ton of fresh, tart raspberries and a huge raspberry seed flavor. A little jammy, but mainly tart with some sourness.","Oct 21, 2018"
Framboise Du Fermier,,Illinois,4.73/5,"Wow the smell on this beer is just heavenly. Full of fresh raspberries, full of tartness and sweetness. Basically liquid raspberry in pure sour saison form. Has all of the complex and beautifully balanced flavors and feel from the original, but now has a fresh fruit to star up front. Mouthfeel finish did feel a little grainy and acidic on the end, but I'm just nitpicking at this point.","Oct 04, 2018"
Framboise Du Fermier,,North Carolina,4.74/5,"Incredible, so happy my buddy brought one out at our bottle share! This is definitely a beer I will try to get a bottle of for my cellar","Sep 05, 2018"
Framboise Du Fermier,,Missouri,4.22/5,"B2 shared on 8-19-18(Fermier Day). Pours on the lighter shade of ruby(it was the lightest shade compared with Quetsche, Kriek, and Bluet). Nice raspberry funk on the nose. An initial raspberry flavor hits the palate, but for some strange reason quickly fades as my acidic ""woo"" reaction kicks in. I've read so many reviews here with the same ""jam/jammy"" comments, and I was very disappointed when I finally got to try this coveted brew, because those 2 words are far from the truth. Jam is sweet, something you put on bread(or crackers if you really want to be Mr. Fancy Pants). This beer is strongly acidic, dare I say overly so.","Aug 21, 2018"
Framboise Du Fermier,,Illinois,4.73/5,"B2 Bottle at Fermier Day

Pours a ruby red berry juice with thin pinkish head that dissipates quickly. Nose is bright juicy strawberries, raspberries, cherries. Gettin some dry tannins and oak. Taste is straight fruit juice, raspberry jam. Overall, this knocks it out. Not overly complex, straight fruit juice, but that's not really a knock. Delicious.","Aug 21, 2018"
Framboise Du Fermier,,California,4.7/5,"My review is based off batch #1.

Batch #2 was miles off and should not even be considered in the same realm","Sep 02, 2016"
Framboise Du Fermier,,Florida,4.77/5,"Easily the best I've ever had from Side Project. It's fantastic, and the raspberries shine through perfectly. It also strikes a great balance between its tartness and its drinkability.","Jun 25, 2016"
Double Sunshine,,Maryland,4.69/5,"Poured from the can into a Lawson's branded tulip/goblet glass. Canned April 26th 2023.

Beamin juicy orange colored body, with a touch of haze and light visible carbonation. Three finger forming head, a bit of soapy and big bubbled appearance which pops easily, with light retention. Still manages to stick around and leave a tall collar as well, making a nice crowned appearance.

Delicious aroma. Hop pressing front nose with light citrus, and faint touching juicy tropical notes. A nice creamy touch almost sweet vanilla, mixing with a light caramel and crispy malt quality. Comes off like hinting of light powdered sugar on fruity pancakes quality.

The mouthfeel on this is just unreal. An intense solid backbone that is creamy with just a light touch of pushing sweet tones on the palate. The mid hits with thick THICK controlled orange and pine notes, mixing sweet cream and orange, and pine/earth heat. Bitterness comes in the finish, so ever slowly, with first notes of tangerine and Christmas spices, then with lingering notes of pepper and wood bitterness. Campfire like warmth in the back palate, that just slowly sits and churns with all the orange and spices you can imagine.

Fantastic IPA, and hardly any hint of big abv now that I think of it. Just killer stuff.","Jun 27, 2023"
Double Sunshine,,New York,4.85/5,"This stuff is an absolute treat!

L: Pours a deep golden, yet clear in the glass. Fluffy, white head of 3 fingers lasts through the session.

S: Smells of grapefruit, citrus, dank hops, and sweet bread malt.

T: Grapefruit and sweet malt dominates the beginning, the hops come into play by this point and play very nicely with the grapefruit. These dank, citusy notes do not overpower and keep the beer tasting fresh. It finishes clean, especially for a DIPA.

F: Nice level of carbonation, feels smooth and finishes clean. Incredibly drinkable for a session. Just be careful with DIPAs with this level of drinkability.

O: Incredibly well balanced DIPA with an excellent flavor profile. This might be my favorite DIPA I have tried to date.","Mar 09, 2023"
Double Sunshine,,New York,4.02/5,A little disappointing. Overall a solid IPA but just expected better after having Sips of Sunshine. Surprised at the perfect 100 rating. A more citrusy flavor than Sips with a noticeable grapefruit taste and not as smooth. I’d recommend as a much lighter double IPA for those that don’t prefer the heavy types.,"Feb 19, 2023"
Double Sunshine,,Florida,5/5,"Wow! Smells dank tropical & herbal. Taste matches the smell. Man this is so juicy, dank & pungent with a wonderful hoppy aftertaste that lingers. Really incredible brew. One of the best beers I've ever had.","Oct 09, 2022"
Double Sunshine,,Idaho,4.46/5,"Draft at Lawson's. Clear golden pour, small white foamy head, rings of lacing. Light, sweet aroma, grainy, citrus. Taste is smooth, sweet, gentle hoppiness, latent warmth. Incredibly, wonderfully smooth.","Sep 28, 2022"
Double Sunshine,,Massachusetts,4.5/5,"Brewers Notes: This American double India pale ale is packed with juicy tropical fruit flavors and bright herbal aromas, thanks to the abundance of US-grown hops.


College soccer match takes me to within 20 miles of this brewery and gives me the chance to nab this whale 

Canned 8.10, opened 9.17, poured into a chilled Spiegelau glass

“Finest freshest”

Fluffy three finger off white foam cap, good retention, settles to a thick puffy island with good lacings over a translucent amber liquid with numerous active carbonation streams 

Aroma is orange citrus , whiff of the tropics and some mango 

Taste is citrus grapefruit, grapefruit rind 

Sudsy mouthfeel , hop bite , we’ll balanced 

Good beer , worth the hunt","Sep 17, 2022"
Double Sunshine,,Kentucky,4.7/5,"Every super hero has a skill, they have a talent, they have a gift. They have the ability to do something that no one else can do and they use it for good. Lawson's finest has a gift for hops and they do good bringing a double dose of their best efforts to the New England craft beer community.

Double Sunshine pours with a strikingly hazy and golden orange appearance. Looking the part of most hazy ale, the beer floats a creamy dense meringue of tarnish froth before enticing the nose with a brisk and brazen citrus scent with an herbal perfume of citronella in a ripe, roaring and racy tone. Deliciously smooth and velvety in its malty upstart, the early palate is met with cereal, honey, caramel and cream.

As the malts settle on the palate, the hops simply begin to blossom with a bounty of branch-ripe Valencia orange, tangerine, mandarin and blood orange while inviting more fruits of nectarine and mango to add even more racy flavors. Red grapefruit tighten its hop taste as a late plunge into juicy notions of sherbet and push-ups. Trending firmly bitter with smooth pine, fragrant woods, citrus peel and herbal and a slightly dank vegetal bite.

Medium-full in body, the beer's bold flavors and creamy upstart finishes remarkably dry and resinous. A long but smooth bitterness is lasting with fruit peels and herb for a session that's classically hazy up front and traditionally bitter to finish- a best of both worlds.","Sep 16, 2022"
Double Sunshine,,Tennessee,4.37/5,"Canned 8/10/22.

L: Pours a clear orange gold with a big creamy white head that thins on top but sticks around the glass. Lacing is splotchy and irregular but pretty.

S: Surprising juicy fruit aroma, more similar to Sip than expected. A touch of grapefruit and herb.

T: More juicy fruit up front, pivoting to grapefruit in the middle, with a dry and slightly bitter finish. No heat.

F: Medium mouthfeel. Appropriate carbonation.

O: Combines some of the best elements of new school juiciness and old school clarity and bitterness. Well crafted.","Aug 26, 2022"
Double Sunshine,,Maine,4.58/5,Exceptional! Stopped at their brewery for the first time yesterday. No idea it was even there and turned around. Really glad I did. Tried two short pours as I was driving and tired. I love Sip and this is head and shoulders better in my opinion. It’s right up there with any beer in the country. Well done Lawson’s,"Jul 02, 2022"
Double Sunshine,,Indiana,4.23/5,Bright citrus with notes of mango and bitter grapefruit.,"May 07, 2022"
Double Sunshine,,New Jersey,4.47/5,Pours clear as a lager (or old school IPA). Love that we still have delicious IPAs that are not turbid. Aroma of citrus grapefruit. I’m glad the grapefruit isn’t too much taste-wise. Citrus hops with the grapefruit in the background. Perfect creamy mouthfeel. Great beer.,"Apr 29, 2022"
Double Sunshine,,Massachusetts,4.36/5,"Pours a lightly hazy reddish golden with soapy white head. Some overripe mango and expressed grapefruit peel on the nose. A touch of mango but mostly citrus forward. Grapefruit is the central flavor that comes to mind. It's sticky, sappy, chewy. The chewiness of this is really what I'm enjoying the most. I remember this being much more tropical and less citrus forward when I had had it before but those are blurry memories from beer festivals and my palate memory is much more developed now than it was at that time. However, this is still a really nice DIPA that doesn't really have any rough edges.","Feb 27, 2022"
Double Sunshine,,Virginia,4.84/5,Outstanding. Better than Heady Topper...but not by much.,"Jan 26, 2022"
Double Sunshine,,Ohio,4.33/5,"Look - great golden clear color with nice white head and great lacing
Smell - citrus dank herbal 
Taste - about the same but dialed back, almost like orange peel with a slight lemon
Feel - medium full body with a medium carb
Overall - really fantastic","Nov 20, 2021"
Double Sunshine,,Massachusetts,4.34/5,"Small but lasting head. Some streaks for lace. Darker gold color. Clear. 

Light earthiness. Some spiciness in the form of nutmeg or cinnamon. Good pale malt base, slightly sweet. 

Drier than the smell. The body leans rich but the carbonation is also elevated. The hop bitterness shows up just prior to the swallow. The finish is approaching astringency. The hop is similar To black pepper. The aftertaste draws out some warmth from the alcohol. Surprisingly easy to drink with a good blend of all of the elements throughout the tasting.","Oct 20, 2021"
Double Sunshine,,District of Columbia,4.77/5,"Quick review, can purchased at brewery:
Mostly clear with strong lacing; Nose is a bit light, fruity; taste starts a little sweet, with a hint of burn, but balances quickly and then slowly becomes bitter. The Transition is nice, only mild complaint is I wish is started just a little less bite. Awesome beer, and I'm mostly finding smaller detractions to bring it down from perfect.","Sep 20, 2021"
Double Sunshine,,Texas,4.9/5,"#67, yummy!","Aug 28, 2021"
Double Sunshine,,Pennsylvania,4.41/5,"I finally got this up in Vermont this summer. I was expecting too much from it based on other people's ratings. I actually prefer SOS to the double. Don't get me wrong, this is a great DIPA, but I am getting bitter taste from the hops rather than the sweet taste I get from SOS. I love how this beer is clear, amber from the delicious malt, well-carbonated, and easy to drink.","Aug 12, 2021"
Double Sunshine,,Connecticut,4.46/5,"Pours a clear crisp orange-yellow color with a thick but airy white colored head that laces nicely on the way down. Aroma of floral hops, earthy smells and some sweet malts at the end of it. Tastes of toasted malts, nice earthy and slightly citrus hops and a warming alcohol feel at the back end. Thicker feeling than it looks, warming, nice amount of carbonation. Overall, this is what I miss about Double IPAs made in New England.","Jul 23, 2021"
Double Sunshine,,New Jersey,5/5,Looks great. Tastes great. Feels great. Smells great….. best product from Lawson’s by far.,"Jun 29, 2021"
Double Sunshine,,Massachusetts,4.93/5,"This is worth driving to Waitsfield for. I worried it was a gimmick, not different from Sip. It's better than Sip. which I already like a lot. It's more more more compared to Sip. Nice job Lawson's!","Feb 15, 2021"
Double Sunshine,,New York,4.18/5,Old school ipa...nothing special,"Jan 14, 2021"
Double Sunshine,,Vermont,4/5,"I don't know about this one... the strong ABV negatively offsets the ""sunny"" taste. Two weeks old and it shouldn't be this boozy. For my money - and opinion - the original ""Sips"" is significantly better.","Nov 12, 2020"
Double Sunshine,,New Jersey,4.75/5,"Exceptional IPA. Similar to Sip of Sunshine but definitely better. Brewers like to use the phrase ""bursting with flavor"" but this beer really is. Aroma and taste are everything I want in an IPA. No hazy, chalky, yeasty crap just a great, strong, balanced beauty of a beer. I think it's better than Heady Topper. yb","Sep 24, 2020"
Double Sunshine,,Mississippi,4.5/5,"Had poured from pint can, bottom stamped ""CANNED ON: 07/23/20,"" gift from friend, into nonic pint.

Pours a beautiful slightly cloudy orange-gold, with a lasting 1- to 2-finger head, leaving elegant lace. Aroma is huge juicy citrus and tropical fruit, which gives way to a continuing not quite dank herbaceousness, not found in Sip of Sunshine. On drinking, it is all about the juicy citrus and tropical fruit, balanced with a bit of malt and hop bite, and further distinguished from Sip of Sunshine by alcohol sweetness in the finish.","Sep 22, 2020"
JJJuliusss!,,Illinois,4.52/5,"Thanks Nick! Vigorous pour produces an amazing smell. Taste follows, juice bomb really tasty. Great medium feel. Overall everything I would expect from this legendary brewery. Touche!","Feb 19, 2023"
JJJuliusss!,,Pennsylvania,4.32/5,"From a 16oz can into a tulip. Drank this last night and I forgot to record the canning date. Sometime mid-November 2022. Can message: ""Stay Gold Pony Boy""

Pours an opaque brownish orange with about one finger of white head. Incredible lacing and retention.

Strong aromas of oranges and earth/dirt. 

Taste follows but mellows on warming with a little less distinctness.

Soft, medium to full-bodied mouthfeel. Bitter aftertaste. Medium carbonation.

This beer is excellent-for what it is. Seems to be missing that ""little something extra"" that most of their DIPAs have. That said, if you hand me one of these, I'm gonna drink it. Smiling.","Dec 23, 2022"
JJJuliusss!,,Kentucky,4.52/5,"Its with a jaw tightening, lip smacking, mouth watering series of sensations that gives Tree House's power packed Julius a newer and juicier life that'll leave us stuttering for more.

The excellence in Jjjuliusss is felt starting with a similarly creamy peach and golden blend of colors and airy textures as the original Julius. The beer's dense and foggy appearance only works to make it more appetizing. A slow separation of ale from froth suggests a viscous character that carries over to an even more creamy, tangy, sweet and fruity taste just after a grassy, citrusy, herbal and piney perfume than any before.

Less grassy and herbal in taste, the flavors that explode on the middle palate are dominant with all-things-orange. Tangerine, in all its tangy, fructose-sweet, branch-ripe and fresh squeezed vibrance springs to life with a zesty support of red grapefruit, lemon and lime. Tantalizing tropical fruits join the taste with pineapple and kiwi nuances. Smooth in the beer's fleeting taste, a sense of bitter sherbet with citrus zest apply their final and lasting contributions to balance.

Creamy and malty-dry, the taste starts fuller and plush, but trailing bitter, herbal and dry, the soft sappiness of freshly shaven spruce links up with fragrant citrus peel for an evaporative texture and a nearly teeth-churning creamy tartness that aligns itself with sorbet desserts- Its surprising that a single sixteen ounce can can hold so much flavor.","Oct 21, 2022"
JJJuliusss!,,New Hampshire,4.84/5,Quite possibly the best beer I've ever had. Enjoyed this even more than the King. Accolades fail me at this level of perfection of the style. Effortless drinking and just pure unadulterated enjoyment. Thanks goodness this brewery is a long drive away or they would have all my money.,"Sep 21, 2022"
